problem,form,note,tactic,result,apply_ms,solve_ms,total_ms
wrap_double,recfun,"non-recursive, dbl() as RecFunction",simplify>solve-eqs,sat,0.06,0.02,0.08
wrap_double,recfun,"non-recursive, dbl() as RecFunction",simplify>propagate-values,sat,0.03,0.44,0.47
wrap_double,recfun,"non-recursive, dbl() as RecFunction",propagate-values>solve-eqs,sat,0.06,0.02,0.08
wrap_double,recfun,"non-recursive, dbl() as RecFunction",ctx-simplify>simplify,sat,0.16,0.45,0.61
wrap_double,recfun,"non-recursive, dbl() as RecFunction",elim-term-ite>simplify,sat,0.05,0.11,0.16
wrap_double,recfun,"non-recursive, dbl() as RecFunction",simplify>ctx-simplify,sat,0.03,0.4,0.43
wrap_double,recfun,"non-recursive, dbl() as RecFunction",propagate-values>simplify,sat,0.05,0.37,0.42
wrap_double,recfun,"non-recursive, dbl() as RecFunction",solve-eqs>simplify,sat,0.07,0.02,0.09
sum_to_fwd,recfun,,(none),sat,0.0,0.41,0.41
sum_to_fwd,recfun,,ackermannize_bv,sat,0.02,0.39,0.41
sum_to_fwd,recfun,,subpaving,sat,0.13,0.35,0.48
sum_to_fwd,recfun,,horn,tactic_err,0.38,0.0,0.38
sum_to_fwd,recfun,,horn-simplify,tactic_err,0.09,0.0,0.09
sum_to_fwd,recfun,,nlsat,sat,0.07,0.42,0.49
sum_to_fwd,recfun,,qfnra-nlsat,sat,0.16,0.02,0.18
sum_to_fwd,recfun,,qe-light,sat,0.02,0.4,0.42
sum_to_fwd,recfun,,nlqsat,tactic_err,0.03,0.0,0.03
sum_to_fwd,recfun,,qe,sat,0.03,0.48,0.51
sum_to_fwd,recfun,,qsat,sat,0.46,0.02,0.48
sum_to_fwd,recfun,,qe2,sat,0.53,0.48,1.01
sum_to_fwd,recfun,,qe_rec,sat,0.03,0.48,0.51
sum_to_fwd,recfun,,psat,sat,0.57,0.47,1.04
sum_to_fwd,recfun,,sat,sat,0.38,0.42,0.8
sum_to_fwd,recfun,,sat-preprocess,sat,0.36,0.41,0.77
sum_to_fwd,recfun,,ctx-solver-simplify,sat,0.31,0.41,0.72
sum_to_fwd,recfun,,psmt,sat,1.76,0.03,1.79
sum_to_fwd,recfun,,unit-subsume-simplify,sat,0.22,0.45,0.67
sum_to_fwd,recfun,,aig,sat,0.02,0.52,0.54
sum_to_fwd,recfun,,add-bounds,unsat,0.03,0.39,0.42
sum_to_fwd,recfun,,card2bv,sat,0.12,0.37,0.49
sum_to_fwd,recfun,,degree-shift,sat,0.1,0.36,0.46
sum_to_fwd,recfun,,diff-neq,tactic_err,0.03,0.0,0.03
sum_to_fwd,recfun,,eq2bv,sat,0.03,0.41,0.44
sum_to_fwd,recfun,,factor,sat,0.02,0.4,0.42
sum_to_fwd,recfun,,fix-dl-var,sat,0.03,0.52,0.55
sum_to_fwd,recfun,,fm,sat,0.14,0.46,0.6
sum_to_fwd,recfun,,lia2card,sat,0.02,0.43,0.45
sum_to_fwd,recfun,,lia2pb,sat,0.02,0.43,0.45
sum_to_fwd,recfun,,nla2bv,tactic_err,0.05,0.0,0.05
sum_to_fwd,recfun,,normalize-bounds,sat,0.02,0.41,0.43
sum_to_fwd,recfun,,pb2bv,tactic_err,0.11,0.0,0.11
sum_to_fwd,recfun,,propagate-ineqs,sat,0.03,0.47,0.5
sum_to_fwd,recfun,,purify-arith,sat,0.12,0.37,0.49
sum_to_fwd,recfun,,recover-01,sat,0.02,0.41,0.43
sum_to_fwd,recfun,,bit-blast,sat,0.02,0.41,0.43
sum_to_fwd,recfun,,bv1-blast,sat,0.02,0.41,0.43
